#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
c1ccc2c(c1)scc2					Ring2_188_1	134.198		[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]([c;X3;R1]1)[s;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][s;R1][c;X3;R2]([c;X3;R1]3)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3					[c;X3;R1]6[c;X3;R1](y)[s;R1][c;X3;R2]([c;X3;R1]5(y))[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12ccsc2cccc1					Ring2_188_2	134.198		[c;X3;R2]12[c;X3;R1][c;X3;R1][s;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1c2ccsc2ccc1					Ring2_188_3	134.198		[c;X3;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][s;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2sccc2ccc1					Ring2_188_4	134.198		[c;X3;R1]1[c;X3;R2]2[s;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][s;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[s;R1][c;X3;R2]6[c;X3;R1]5(y)
c12sccc2cccc1					Ring2_188_5	134.198		[c;X3;R2]12[s;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][s;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[s;R1][c;X3;R2]56
s1c2ccccc2cc1					Ring2_188_6	134.198		[s;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1]5
s1c2ccccc2nc1					Ring2_197_1	135.186		[s;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=C)]1				[c;X3;R1;!$(c=O);!$(c=C)]3[n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1]3				[c;X3;R1;!$(c=O);!$(c=C)]5[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1]5
c12ncsc2cccc1					Ring2_197_2	135.186		[c;X3;R2]12[n;R1][c;X3;R1;!$(c=O);!$(c=C)][s;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1][c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1][c;X3;R2]56
c1c2ncsc2ccc1					Ring2_197_3	135.186		[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=C)][s;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[s;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[s;R1][c;X3;R1;!$(c=O);!$(c=C)](y)[n;R1][c;X3;R2]6[c;X3;R1]5(y)
c1c2scnc2ccc1					Ring2_197_4	135.186		[c;X3;R1]1[c;X3;R2]2[s;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=C)][s;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=C)](y)[s;R1][c;X3;R2]6[c;X3;R1]5(y)
c12scnc2cccc1					Ring2_197_5	135.186		[c;X3;R2]12[s;R1][c;X3;R1;!$(c=O);!$(c=C)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=C)][s;R1][c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=C)](y)[s;R1][c;X3;R2]56
C1COc2c(O1)cccc2				Ring2_201_1	136.1479	[C;X4;R1]1[C;X4;R1][O;R1][c;X3;R2]2[c;X3;R2]([O;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2				[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([O;R1]3)[c;X3;R2]4[O;R1][C;X4;R1][C;X4;R1]3				[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([O;R1]5)[c;X3;R2]6[O;R1][C;X4;R1](y)[C;X4;R1]5(y)
c1c2OCCOc2ccc1					Ring2_201_2	136.1479	[c;X3;R1]1[c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1][O;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1][C;X4;R1][C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1][C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1]5(y)
O1c2ccccc2OCC1					Ring2_201_3	136.1479	[O;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1]3				[C;X4;R1]5[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1]5
C1(=O)CC(S2)N1C=CC2				Ring2_232_1	141.191		[C;X3;R1]1(=O)[C;X4;R1][C;X4;R2]([S;R1]2)[N;R2]1[C;X3;R1]=[C;X3;R1][C;X4;R1]2						[C;X4;R1]4[C;X3;R1]=[C;X3;R1][N;R2]3[C;X4;R2]([S;R1]4)[C;X4;R1][C;X3;R1]3(=O)						[C;X4;R1]6(y)[C;X3;R1](y)=[C;X3;R1](y)[N;R2]5[C;X4;R2](y)([S;R1]6)[C;X4;R1](y)[C;X3;R1]5(=O)
C1(=O)CC(SC2)N1C=C2				Ring2_232_2	141.191		[C;X3;R1]1(=O)[C;X4;R1][C;X4;R2]([S;R1][C;X4;R1]2)[N;R2]1[C;X3;R1]=[C;X3;R1]2						[C;X3;R1]4=[C;X3;R1][N;R2]3[C;X4;R2]([S;R1][C;X4;R1]4)[C;X4;R1][C;X3;R1]3(=O)						[C;X3;R1]6=[C;X3;R1](y)[N;R2]5[C;X4;R2](y)([S;R1][C;X4;R1]6(y))[C;X4;R1](y)[C;X3;R1]5(=O)
N12C(=O)CC1SCC=C2				Ring2_232_3	141.191		[N;R2]12[C;X3;R1](=O)[C;X4;R1][C;X4;R2]1[S;R1][C;X4;R1][C;X3;R1]=[C;X3;R1]2						[C;X3;R1]4=[C;X3;R1][C;X4;R1][S;R1][C;X4;R2]3[C;X4;R1][C;X3;R1](=O)[N;R2]34						[C;X3;R1]6=[C;X3;R1](y)[C;X4;R1](y)[S;R1][C;X4;R2]5(y)[C;X4;R1](y)[C;X3;R1](=O)[N;R2]56
S1CC=CN(C2(=O))C1C2				Ring2_232_4	141.191		[S;R1]1[C;X4;R1][C;X3;R1]=[C;X3;R1][N;R2]([C;X3;R1]2(=O))[C;X4;R2]1[C;X4;R1]2						[C;X4;R1]4[C;X4;R2]3[N;R2]([C;X3;R1]4(=O))[C;X3;R1]=[C;X3;R1][C;X4;R1][S;R1]3						[C;X4;R1]6(y)[C;X4;R2]5(y)[N;R2]([C;X3;R1]6(=O))[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[S;R1]5
S1CC=CN(C(=O)C2)C12				Ring2_232_5	141.191		[S;R1]1[C;X4;R1][C;X3;R1]=[C;X3;R1][N;R2]([C;X3;R1](=O)[C;X4;R1]2)[C;X4;R2]12						[C;X4;R2]34[N;R2]([C;X3;R1](=O)[C;X4;R1]4)[C;X3;R1]=[C;X3;R1][C;X4;R1][S;R1]3						[C;X4;R2]56[N;R2]([C;X3;R1](=O)[C;X4;R1]6(y))[C;X3;R1](y)=[C;X3;R1](y)[C;X4;R1](y)[S;R1]5
c12ccc(=O)nc2cccc1				Ring2_243_1	144.1500	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1c2ccc(=O)nc2ccc1				Ring2_243_2	144.1500	[c;X3;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1cc2ccc(=O)nc2cc1				Ring2_243_3	144.1500	[c;X3;R1]1[c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1]5(y)
c1ccc2ccc(=O)nc2c1				Ring2_243_4	144.1500	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1]1				[c;X3;R1]3[c;X3;R2]4[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1]3				[c;X3;R1]5[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12ccccc2ccc(=O)n1				Ring2_243_5	144.1500	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1]1				[n;R1]3[c;X3;R1](=O)[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[n;R1]5[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1(=O)nc2ccccc2cc1				Ring2_243_6	144.1500	[c;X3;R1]1(=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1]3(=O)				[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1]5(=O)
c1c(=O)nc2ccccc2c1				Ring2_243_7	144.1500	[c;X3;R1]1[c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1]1				[c;X3;R1]3[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1](=O)[c;X3;R1]3				[c;X3;R1]5[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[c;X3;R1]5(y)
c1(=O)ccnc2c1cccc2				Ring2_244_1	144.1500	[c;X3;R1]1(=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2				[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3(=O)				[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(=O)
c1(=O)ccnc(c2)c1ccc2				Ring2_244_2	144.1500	[c;X3;R1]1(=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]([c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1]4)[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3(=O)			[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1]6(y))[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(=O)
c1c2c(=O)ccnc2ccc1				Ring2_244_3	144.1500	[c;X3;R1]1[c;x3;R2]2[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;x3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[c;x3;R2]6[c;X3;R1]5(y)
c12c(=O)ccnc2cccc1				Ring2_244_4	144.1500	[c;X3;R2]12[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[c;X3;R2]56
c12ccccc2c(=O)ccn1				Ring2_244_5	144.1500	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1]1				[n;R1]3[c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[n;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
n1c2ccccc2c(=O)cc1				Ring2_244_6	144.1500	[n;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R1](=O)[c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1](=O)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](=O)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1]5(y)
c1(=O)c2ccccc2ncc1				Ring2_244_7	144.1500	[c;X3;R1]1(=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3(=O)				[c;X3;R1]5[c;X3;R1](y)[n;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(=O)
c1(=O)c2cccnc2ncc1				Ring2_257_1	145.1381	[c;X3;R1]1(=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3(=O)				[c;X3;R1]5[c;X3;R1](y)[n;R1][c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(=O)
c1c(=O)c2cccnc2nc1				Ring2_257_2	145.1381	[c;X3;R1]1[c;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][n;R1][c;X3;R2]2[n;R1][c;X3;R1]1				[c;X3;R1]3[n;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1](=O)[c;X3;R1]3				[c;X3;R1]5[n;R1][c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](=O)[c;X3;R1]5(y)
c12nccc(=O)c2cccn1				Ring2_257_3	145.1381	[c;X3;R2]12[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][n;R1]1				[n;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]34				[n;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]56
n1c2nccc(=O)c2ccc1				Ring2_257_4	145.1381	[n;R1]1[c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]4[n;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]6[n;R1]5(y)
c1nc2nccc(=O)c2cc1				Ring2_257_5	145.1381	[c;X3;R1]1[n;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R2]4[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]4[n;R1][c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]6[n;R1](y)[c;X3;R1]5(y)
c1cnc2nccc(=O)c2c1				Ring2_257_6	145.1381	[c;X3;R1]1[c;X3;R1][n;R1][c;X3;R2]2[n;R1][c;X3;R1][c;X3;R1][c;X3;R1](=O)[c;X3;R2]2[c;X3;R1]1				[c;X3;R1]3[c;X3;R2]4[c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R2]4[n;R1][c;X3;R1][c;X3;R1]3				[c;X3;R1]5[c;X3;R2]6[c;X3;R1](=O)[c;X3;R1](y)[c;X3;R1](y)[n;R1][c;X3;R2]6[n;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1(=O)ncnc2c1cccc2				Ring2_261_1	145.1381	[c;X3;R1]1(=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]2[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2		[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1]3(=O)		[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1](y)[c;X3;R1]5(=O)
c1(=O)ncnc(c2)c1ccc2				Ring2_261_2	145.1381	[c;X3;R1]1(=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]([c;X3;R1]2)[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1]2		[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]([c;X3;R1]4)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1]3(=O)		[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]([c;X3;R1]6(y))[n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1](y)[c;X3;R1]5(=O)
c1c2c(=o)ncnc2ccc1				Ring2_261_3	145.1381	[c;X3;R1]1[c;X3;R2]2[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1](=O)[c;X3;R2]4[c;X3;R1]3		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1](y)[c;X3;R1](=O)[c;X3;R2]6[c;X3;R1]5(y)
c12c(=O)ncnc2cccc1				Ring2_261_4	145.1381	[c;X3;R2]12[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1](=O)[c;X3;R2]34		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1](y)[c;X3;R1](=O)[c;X3;R2]56
c1(=O)c2ccccc2ncn1				Ring2_261_5	145.1381	[c;X3;R1]1(=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]1		[n;R1]3[c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1]3(=O)		[n;R1]5[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1]5(=O)
n1c(=O)c2ccccc2nc1				Ring2_261_6	145.1381	[n;R1]1[c;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O);!$(c=S)]1		[c;X3;R1;!$(c=O);!$(c=S)]3[n;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1](=O)[n;R1]3		[c;X3;R1;!$(c=O);!$(c=S)]5[n;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1](=O)[n;R1]5(y)
